id_registro,texto_original,dimension_psicologica,nivel_riesgo_estimado
255,Me siento tan avergonzado de mí mismo. Acabo de romper con mi novia y no puedo evitar culparme por todo lo que salió mal.,General / Apoyo Emocional,Bajo
256,"Hola , espero que te encuentres bien. Últimamente he estado experimentando algo de estrés relacionado con el trabajo y siento que realmente me está pasando factura. Sé que la comunicación es clave a la hora de gestionar el estrés, por eso quería hablarte de ello.",Estrés (DASS-21),Moderado
257,Estoy tan infeliz. Siento que el éxito está a kilómetros de distancia.,General / Apoyo Emocional,Bajo
258,"Hola , espero que te encuentres bien. Quería comenzar diciendo lo agradecido que estoy de tener la oportunidad de hablar con ustedes sobre mi autoestima. Es algo que me ronda mucho la cabeza últimamente y que está afectando a varios aspectos de mi vida.",General / Apoyo Emocional,Bajo
259,"Hola , espero que te encuentres bien hoy. Me siento seguro de poder pedir ayuda. He estado luchando contra la adicción y últimamente ha sido muy difícil para mí. Me siento como un tramposo porque he dejado que controle mi vida durante tanto tiempo.",General / Apoyo Emocional,Bajo
260,"Me siento muy disgustado, . Ha sido muy difícil lidiar con todo este conflicto familiar que rodea a mi novia.",General / Apoyo Emocional,Bajo
261,"Hola , espero que estés bien hoy. Me he sentido muy ansioso últimamente y me vendría muy bien tu ayuda. He estado luchando por encontrar un nuevo pasatiempo que realmente pueda amar y disfrutar. Ha sido un poco abrumador tratar de equilibrar el trabajo y encontrar algo que me brinde alegría fuera de él.",Estrés (DASS-21),Moderado
262,"Hola , espero que te encuentres bien hoy. Tengo algo en mente por lo que me he sentido esperanzado y temeroso. Es este sueño que tengo, un sueño que siento tan cercano pero también tan lejano. Quiero hablar sobre ello y ver si puedes arrojar algo de luz sobre cómo puedo superar los miedos que me frenan.",Ansiedad (DASS-21),Moderado
263,"Estoy en shock, . No puedo creer lo desconsolado que estoy en este momento. Se siente como si alguien me hubiera arrancado el corazón y lo hubiera pisoteado. Parece que ya no puedo encontrarle sentido a nada.",General / Apoyo Emocional,Bajo
264,"Últimamente me siento un poco arrepentido, . Es como un peso pesado en mi pecho del que no puedo quitarme de encima. Todo surge de mi relación con mi mamá.",General / Apoyo Emocional,Bajo
265,Me siento aliviado de tener finalmente la oportunidad de hablar sobre esta ruptura.,General / Apoyo Emocional,Bajo
266,"Me siento muy avergonzado, . Se trata de mis finanzas. He estado luchando para llegar a fin de mes y realmente me está pasando factura emocionalmente.",General / Apoyo Emocional,Bajo
267,"Últimamente me siento muy deprimido y él, mi padre, simplemente no parece entenderlo.",General / Apoyo Emocional,Bajo
268,"Es doloroso admitirlo, pero siento que no he encontrado mi lugar en el mundo. He estado buscando algo que me brinde alegría y satisfacción, pero siento que todo lo que intento fracasa. Me prometí a mí mismo que encontraría un nuevo pasatiempo, algo que pudiera despertar un sentido de propósito, pero ha sido una lucha.",General / Apoyo Emocional,Bajo
269,"Me siento muy agradecido de que estés aquí para escucharme, . Últimamente he estado luchando contra un pánico abrumador. Es como este nudo en mi pecho que se aprieta cada día que pasa. Parece que no puedo quitármelo de encima sin importar lo que haga.",Estrés (DASS-21),Moderado
270,"Me he sentido muy arrepentido últimamente, . Me ha estado carcomiendo, consumiendo mis pensamientos, especialmente cuando se trata de mi novia.",General / Apoyo Emocional,Bajo
271,"Me he sentido muy avergonzada y agobiada por este constante conflicto familiar. Parece que no importa lo que haga, siempre me encuentro con críticas y juicios sobre mis seres queridos. Es asfixiante y ya no sé qué hacer.",Ansiedad (DASS-21),Moderado
272,"Hola , espero que te encuentres bien. Quería hablar de algo que me ha estado molestando últimamente. He tenido miedo de probar cosas nuevas y explorar nuevos pasatiempos. Creo que se debe a un trauma pasado que experimenté hace unos años.",Ansiedad (DASS-21),Moderado
273,"Hola , me siento muy ansioso y parece que ya no puedo controlar mis emociones.",General / Apoyo Emocional,Bajo
274,"Hola , quería hablar sobre mi conflicto con amigos. Me ha estado molestando mucho últimamente y realmente me vendría bien un poco de orientación.",General / Apoyo Emocional,Bajo
275,"Hola , espero que estés bien. Me he sentido muy tenso últimamente y me vendría bien un poco de orientación con el estrés relacionado con el trabajo. Me ha estado agobiando y no me siento tan seguro como antes.",Estrés (DASS-21),Moderado
276,"Hola , espero que te encuentres bien. Últimamente me he sentido muy nervioso y eso ha afectado mi salud en general. Simplemente ya no sé qué hacer.",Ansiedad (DASS-21),Moderado
277,"Hola , me siento realmente abrumado en este momento. Mi angustia parece demasiado difícil de manejar. Sé que el cambio es parte de la vida, pero es difícil ver la luz al final del túnel.",Estrés (DASS-21),Moderado
278,"Últimamente me siento muy tenso, . Pensé que lo tenía todo resuelto, pero ahora mi corazón está hecho añicos. Solía ​​tener mucha confianza, ¿sabes? Pero perder mi trabajo me ha sacudido hasta lo más profundo.",General / Apoyo Emocional,Bajo
279,"Hola . Espero que estés bien hoy. Para ser honesto, me siento un poco nervioso por abrirme, pero sé que necesito hablar de ello. Verás, últimamente mis sueños me han estado persiguiendo y están empezando a afectarme durante las horas de vigilia.",Ansiedad (DASS-21),Moderado
280,"Últimamente me he sentido muy ansiosa, especialmente cuando se trata de mi prometida.",General / Apoyo Emocional,Bajo
281,"He estado pensando mucho en ello últimamente y pensé que podría ser útil hablarlo con alguien. Verás, tengo esta amiga y ella significa mucho para mí. Pero últimamente nuestra relación se ha vuelto un poco tensa.",General / Apoyo Emocional,Bajo
282,No puedo creer lo disgustada y traicionada que me siento. Es una sensación terrible darse cuenta de que algo que una vez amaste se ha convertido en una fuente de decepción.,General / Apoyo Emocional,Bajo
283,Me siento enojado y tengo una sensación de inseguridad. No sé por qué me siento así. Me ha estado molestando desde hace un tiempo.,General / Apoyo Emocional,Bajo
284,"Hola , espero que puedas ayudarme. Me siento realmente abrumado y estancado en este momento. Ha sido muy doloroso ver a mi esposa pasar por esto.",Estrés (DASS-21),Moderado
285,"Hola , espero que te encuentres bien. Me he sentido muy deprimido últimamente y creo que es por mis inseguridades y mi baja autoestima. Es como una nube oscura que se cierne sobre mí y parece que no puedo deshacerme de ella.",General / Apoyo Emocional,Bajo
286,"Estoy realmente sorprendido de cuánto me pueden afectar los conflictos familiares. Últimamente me pesa mucho en la cabeza. Y para ser honesto, parte de esto tiene que ver con la tensión sexual dentro de la familia.",General / Apoyo Emocional,Bajo
287,Últimamente me siento muy alterado y eso está empezando a afectar mi salud.,General / Apoyo Emocional,Bajo
288,"Todavía estoy muy sorprendida por lo que pasó. Mi pareja me engañó, . Nunca lo vi venir y me ha dejado completamente destrozado.",General / Apoyo Emocional,Bajo
289,"Hola , espero que estés bien hoy. Me siento muy cansado, tanto física como mentalmente. Es como un peso constante sobre mis hombros del que parece que no puedo deshacerme. Ha habido un conflicto dentro de mí y me está agotando.",Burnout Estudiantil (MBI-SS),Moderado
290,"Es doloroso, ¿sabes? Este dolor que llevo, lo siento como un gran peso en mi pecho. Y no es sólo la pérdida en sí, sino la forma en que sigue intimidando mi corazón, destrozando los fragmentos de esperanza que me quedan.",General / Apoyo Emocional,Bajo
291,"Últimamente me siento muy abrumada, . Y existe una inseguridad subyacente que simplemente no desaparece. Es como si estuviera atrapado en este ciclo interminable de emociones y no sé cómo liberarme.",General / Apoyo Emocional,Bajo
292,Últimamente me he sentido realmente infeliz. Hay una sensación constante de vacío y pérdida de la que no puedo deshacerme.,General / Apoyo Emocional,Bajo
293,Últimamente me siento muy infeliz y agotada. Es como si estuviera atrapado en este ciclo interminable de trabajo y parece que ya no puedo encontrar ninguna alegría en ello.,General / Apoyo Emocional,Bajo
294,Me siento tan enojado en este momento y no sé ni por dónde empezar. Parece que todo se está desmoronando y estoy atrapada en este bucle interminable de angustia.,General / Apoyo Emocional,Bajo
295,"Estoy en shock, . Me acabo de dar cuenta de que he estado viviendo con mucho abuso en mi vida.",General / Apoyo Emocional,Bajo
296,"Hola , últimamente me he sentido muy triste y creo que necesito ayuda con mis habilidades de comunicación.",General / Apoyo Emocional,Bajo
297,"Hola , espero que te encuentres bien. Realmente no sé por dónde empezar, pero últimamente me he sentido muy conmocionado y abrumado. Ha sido un gran trauma para mí lidiar con el conflicto que tengo con mis amigos.",Estrés (DASS-21),Moderado
298,Me siento tan molesto por ella. Nuestra relación ha sido difícil últimamente y pesa mucho en mi corazón.,General / Apoyo Emocional,Bajo
299,"Últimamente me he sentido muy nervioso, . Es como si tuviera un nudo constante en el estómago y no pudiera quitármelo de encima. Me siento abandonado, incluso olvidado. Es como si nadie entendiera por lo que estoy pasando.",Ansiedad (DASS-21),Moderado
300,"Me he sentido muy deprimido últimamente, . Simplemente parece que no puedo sentirme seguro de mí mismo sin importar lo que haga. Es como una batalla constante en mi mente, y no sé cómo liberarme de ella. Mi mamá solía decirme siempre que podía hacer cualquier cosa que me propusiera, pero últimamente parece que ya no puedo creer en mí misma.",General / Apoyo Emocional,Bajo
301,"Hola , espero que te encuentres bien. Últimamente me he sentido muy entumecido y no sé qué hacer. Mi esposo y yo hemos estado casados ​​durante años y parece que estamos atrapados en una rutina. Creo que necesito un nuevo pasatiempo para cambiar las cosas, pero no sé por dónde empezar.",Burnout Estudiantil (MBI-SS),Moderado
302,"Hola , espero que estés bien. Me he sentido muy deprimido últimamente y pensé que debería buscar orientación. Verás, estaba muy entusiasmado con mi carrera, pero últimamente todo parece desmoronarse.",General / Apoyo Emocional,Bajo
303,"Hola , espero que te encuentres bien. Últimamente me he sentido bastante distraído y eso realmente está empezando a afectar mi vida personal. Mi mente sigue divagando y parece que no puedo concentrarme en nada, incluido mi trabajo. Ha sido un desafío hacer malabares con todo y está poniendo tensión en mi relación. Me temo que si no encuentro una manera de gestionar esto, podría terminar en divorcio.",General / Apoyo Emocional,Bajo
304,"Hola , últimamente me he sentido un poco triste y quería hablar con alguien que pueda ayudarme con mis pensamientos y emociones. Creo que la comunicación es realmente importante, ¿no crees?",General / Apoyo Emocional,Bajo
305,"Hola , últimamente me siento muy triste y como un fracaso. Ha sido muy difícil mantener una actitud positiva y creer en mí mismo.",General / Apoyo Emocional,Bajo
306,"Es realmente doloroso admitirlo, pero creo que tengo una adicción. Está afectando a mi familia y no sé qué hacer.",General / Apoyo Emocional,Bajo
307,"Hola , espero que te encuentres bien. Últimamente me siento muy abrumado y creo que todo se debe a mi trabajo. Ha sido difícil mantenerme al día con todo y ya no sé qué hacer.",Estrés (DASS-21),Moderado
308,Últimamente me siento muy conmocionado y solo. He estado lidiando con algunos problemas de salud y me ha pasado factura.,General / Apoyo Emocional,Bajo
309,"Me siento muy ansioso, . Es como si una nube oscura se cerniera sobre mí todo el tiempo. Y para empeorar las cosas, me acosan en el trabajo.",General / Apoyo Emocional,Bajo
310,"Me siento aliviado de finalmente poder hablar abiertamente sobre mi lucha contra la adicción. Ha sido una carga pesada para llevarla sola. Y está afectando todos los aspectos de mi vida, incluida mi carrera.",Estrés (DASS-21),Moderado
311,"Hola , me siento muy confundido con todo este asunto de la paternidad. Es abrumador y ya no sé qué hacer.",Estrés (DASS-21),Moderado
312,"Me siento arrepentido y en conflicto, . Estas oleadas de ansiedad siguen cayendo sobre mí y se están volviendo demasiado difíciles de soportar.",Ansiedad (DASS-21),Moderado
313,"Últimamente me siento muy disgustado conmigo mismo, . Es como si no importara lo que hiciera, no puedo escapar de este sentimiento de baja autoestima. Intenté trabajar en ello, pero ha sido muy difícil. La comunicación es especialmente difícil para mí. Me resulta difícil expresar mis necesidades y deseos y, a menudo, siento que no me escuchan ni me comprenden.",General / Apoyo Emocional,Bajo
314,"Últimamente me he sentido a la defensiva, . Es como si estuviera constantemente en guardia, esperando ser atacado. Y para empeorar las cosas, creo que he estado lidiando con acoso en el trabajo.",General / Apoyo Emocional,Bajo
315,"Hola, . Espero que estés bien hoy. Solo quería acercarme porque me siento completamente agotado por el trabajo de roles. Ha sido una semana muy larga y parece que no puedo tomar un descanso.",Burnout Estudiantil (MBI-SS),Moderado
316,"Me siento muy arrepentido de mi ruptura. Han pasado algunas semanas desde que sucedió, pero parece que no puedo quitarme la tristeza. Sigo repitiendo todos los momentos que compartimos en mi mente y eso me hace sentir aún más perdida y sola. Extraño la intimidad que teníamos, la conexión emocional que compartíamos e incluso el aspecto sexual de nuestra relación.",General / Apoyo Emocional,Bajo
317,"Recientemente descubrí un nuevo pasatiempo y debo decir, , que estoy absolutamente impactado por el profundo impacto que ha tenido en mi vida. Este nuevo interés me ha brindado consuelo en tiempos de aislamiento.",General / Apoyo Emocional,Bajo
318,Me siento aliviado de tener finalmente esta sesión de terapia. Tengo grandes expectativas de encontrar algún alivio para mi estrés relacionado con el trabajo.,Estrés (DASS-21),Moderado
319,"¡Hola, ! Espero que este mensaje te encuentre bien. Últimamente he sentido una inmensa cantidad de estrés relacionado con el trabajo y realmente me vendría bien tu orientación. Verá, he estado casado durante algunos años y amo muchísimo a mi pareja, pero el trabajo del rol de estrés está empezando a afectar nuestra relación.",Estrés (DASS-21),Moderado
320,"Hola , espero que te encuentres bien. Estoy extendiendo la mano porque siento que mi corazón está roto y estoy luchando por encontrar una sensación de control en mi vida en este momento.",General / Apoyo Emocional,Bajo
321,"Hola , me siento perdido y abrumado. He estado lidiando con algunos conflictos familiares, específicamente acoso dentro de mi familia.",Estrés (DASS-21),Moderado
322,"Hola, . Me siento muy ansioso por esta ruptura.",General / Apoyo Emocional,Bajo
323,"Me siento perdido, . Es como si hubiera estado vagando por un laberinto, buscando desesperadamente el éxito.",General / Apoyo Emocional,Bajo
324,"Me he sentido muy deprimido últimamente, . Es como un peso pesado en mi pecho del que parece que no puedo quitarme de encima. No sé qué hacer, es simplemente abrumador.",Estrés (DASS-21),Moderado
325,"No puedo quitarme este sentimiento de culpa, . Me está consumiendo, especialmente cuando pienso en él y en el trabajo.",General / Apoyo Emocional,Bajo
326,"Me siento seguro hoy, . He estado haciendo algunos cambios en mi vida y me prometo que el estrés laboral ya no me controlará. Quiero encontrar una manera de gestionarlo y llevar una vida más feliz y plena.",Estrés (DASS-21),Moderado
327,"Hola , espero que estés bien hoy. Ha pasado un tiempo desde la última vez que hablamos, pero finalmente reuní el coraje para acercarme. Últimamente he sentido una mezcla de emociones y quería hablar sobre algo que me pesa mucho en la mente. Verá, he estado luchando con este sentimiento paradójico de querer ser feliz y al mismo tiempo lidiar con los restos de abusos pasados. Es bastante desconcertante, para ser honesto.",General / Apoyo Emocional,Bajo
328,"Tengo miedo, . Siento esta abrumadora sensación de pérdida y me está consumiendo.",Estrés (DASS-21),Moderado
329,"Hola , últimamente me he sentido muy confundido. Tengo el objetivo de lograr el éxito, pero lo siento muy fuera de mi alcance. No sé por dónde empezar ni cómo desarrollar mi confianza.",General / Apoyo Emocional,Bajo
330,"Hola , me siento muy inseguro y solo. Simplemente ya no sé qué hacer.",General / Apoyo Emocional,Bajo
331,"Hola , espero que te encuentres bien hoy. Quería hablar contigo sobre algo que me ronda por la cabeza últimamente. Me he sentido un poco deprimido porque he estado probando nuevos pasatiempos, pero no he tenido mucho éxito. Me ha hecho cuestionar mis habilidades y ha afectado mi confianza.",General / Apoyo Emocional,Bajo
332,"Estoy tan disgustada con mi familia, . Las constantes discusiones, los comentarios hirientes, todo me agobia. Y lo peor es que me siento muy sola incluso cuando estoy rodeada de ellos.",General / Apoyo Emocional,Bajo
333,"Me siento perdido, . Es como si me hubiera vuelto tan dependiente de los demás para mi felicidad.",General / Apoyo Emocional,Bajo
334,"Hola , últimamente me siento muy ansioso, especialmente en lo que respeta a la escuela. Parece que siempre hay algún tipo de conflicto con mis amigos y se está volviendo realmente abrumador.",Estrés (DASS-21),Moderado
335,"Estoy realmente agradecida de tener esta oportunidad de hablar, pero también siento mucho miedo de hablar abiertamente sobre mi conflicto familiar. Me ha estado agobiando durante mucho tiempo y no sé por dónde empezar.",Ansiedad (DASS-21),Moderado
336,"Hola , espero que estés bien. Últimamente he estado luchando un poco con el estrés relacionado con el trabajo y pensé que sería útil hablar del tema. Sabes, a veces siento que el trabajo se está apoderando de mi vida y empiezo a preocuparme de que esté afectando mis relaciones con mi querida familia.",Estrés (DASS-21),Moderado
337,"Hola , últimamente me he sentido muy avergonzado por mis relaciones personales. Siempre he tenido altas expectativas y cuando no se cumplen, me siento decepcionado y deprimido.",General / Apoyo Emocional,Bajo
338,"Hola , espero que estés bien. Últimamente me he sentido un poco decepcionado y creo que está relacionado con una ruptura por la que pasé recientemente. Ha sido duro, ¿sabes? Nunca esperé que esto terminara y ahora me siento perdida e insegura de mí misma. Me di cuenta de que me había vuelto demasiado dependiente de mi ex para mi felicidad, y ahora que se han ido, siento que falta una parte de mí.",General / Apoyo Emocional,Bajo
339,Ni siquiera puedo empezar a describir lo disgustada que estoy con mi novio en este momento. Es simplemente inimaginable.,General / Apoyo Emocional,Bajo
340,"¡Hola, ! Espero que estés bien hoy. Quería hablar sobre algo que ha estado en mi mente últimamente. Se trata del dolor y de cómo me está afectando. Verás, hace unos meses perdí a mi abuela y ha sido muy difícil para mí procesarlo. He estado sintiendo una mezcla de emociones, pero tengo la esperanza de que la terapia pueda ayudarme a superar este momento difícil.",General / Apoyo Emocional,Bajo
341,"Hola, . Últimamente me he sentido un poco preocupado. Creo que podría estar lidiando con algún trauma pasado.",Ansiedad (DASS-21),Moderado
342,"Hola , me siento muy molesto en este momento y no sé qué hacer al respecto. Llevo un tiempo sintiéndome así y es por él. Simplemente ya no sé cómo manejarlo.",General / Apoyo Emocional,Bajo
343,"Últimamente he sentido mucho miedo, especialmente cuando se trata de mi novio.",Ansiedad (DASS-21),Moderado
344,"Hola , espero que estés bien. Últimamente me he sentido muy distraída y aislada. Parece que no puedo deshacerme de este sentimiento. Es como si estuviera perdiendo el contacto con mis amigos y eso estuviera causando conflictos. ¿Tiene alguna idea o consejo sobre cómo puedo manejar mejor esta situación?",General / Apoyo Emocional,Bajo
345,"Ha sido muy doloroso para mí últimamente, . He estado sintiendo mucha presión en mis amistades y está empezando a pasarme factura.",Estrés (DASS-21),Moderado
346,"Estoy muy triste, . Siento que mis amistades se están desmoronando y estoy al borde de romper con mis amigos.",General / Apoyo Emocional,Bajo
347,No sé por dónde empezar... Me siento completamente abrumada. Parece que no puedo hacer frente a la cantidad de estrés relacionado con el trabajo que se me ha ido acumulando. Está consumiendo todos mis pensamientos y temo que se esté convirtiendo en una especie de adicción. No puedo escapar de ello.,Estrés (DASS-21),Moderado
348,"Me siento tan avergonzado, . Últimamente ha habido muchos conflictos familiares y no he podido hacer nada al respecto. Pero lo prometo, quiero encontrar una solución.",General / Apoyo Emocional,Bajo
349,"Solía ​​ser muy feliz, pero ahora estoy lidiando con muchos abusos como mis amigos. Ha sido muy duro para mí.",General / Apoyo Emocional,Bajo
350,"Me siento muy arrepentido, . He estado luchando con mi ansiedad y siento que está obstaculizando mi éxito en la vida.",Ansiedad (DASS-21),Moderado
351,"Últimamente he sentido una profunda sensación de paz, pero viene con un matiz de aislamiento.",General / Apoyo Emocional,Bajo
352,"Me siento muy confundida últimamente, . Es como si me estuviera ahogando en el estrés relacionado con el trabajo y estuviera sacando a relucir todos estos sentimientos no resueltos relacionados con mi infancia.",Estrés (DASS-21),Moderado
353,Estoy decepcionado por mi matrimonio.,General / Apoyo Emocional,Bajo
354,"Hola , espero que te encuentres bien. Me siento bastante conmocionado y abrumado en este momento y realmente necesito alguien con quien hablar. Verá, mi prometida y yo hemos estado enfrentando estrés relacionado con el trabajo últimamente, y nos ha estado pasando factura a ambos. No estoy seguro de cómo manejarlo y está afectando nuestra relación. ¿Puede usted ayudar?",Estrés (DASS-21),Crítico
355,"Últimamente ha sido un viaje muy doloroso, . No puedo evitar sentirme abrumado por esta constante sensación de dolor que se cierne sobre mí. Es como una nube oscura que me sigue a todas partes, apagando cualquier rayo de esperanza o felicidad.",Estrés (DASS-21),Moderado
356,"Hola , hoy me siento aliviado. Ha sido una semana dura, pero finalmente logré completar un proyecto en el que he estado trabajando durante un tiempo. Definitivamente ha aumentado mi autoestima.",General / Apoyo Emocional,Bajo
357,No puedo explicar lo aliviado que me siento de estar finalmente aquí. Llevo demasiado tiempo cargando con este peso. Necesito ayuda con mi adicción al abuso de sustancias.,Estrés (DASS-21),Moderado
358,Simplemente ya no sé qué hacer. Me siento completamente abrumado por todo lo que ha estado pasando. Mi angustia me está consumiendo y no veo ninguna manera de que las cosas cambien alguna vez.,Estrés (DASS-21),Moderado
359,"Hola , espero que te encuentres bien hoy. Debo decir que me da un poco de vergüenza sacar a relucir este tema, pero realmente necesito a alguien con quien hablar sobre mi reciente ruptura. Ha estado en mi mente constantemente y no puedo deshacerme de las emociones asociadas a ello.",General / Apoyo Emocional,Bajo
360,"Me siento abrumado, . Acabo de pasar por una ruptura y no sé cómo manejarla. Ha sido muy difícil para mí y sólo necesito alguien con quien hablar.",Estrés (DASS-21),Moderado
361,"Hola , espero que te encuentres bien. Quería hablar con alguien sobre algo que me ha estado molestando últimamente. Me he sentido muy molesto y creo que se debe a algún trauma pasado que no he superado por completo.",General / Apoyo Emocional,Bajo
362,"Me he sentido muy deprimido últimamente, . Hay algo que me ha estado molestando desde hace un tiempo y parece que no puedo quitármelo de encima. Tengo miedo... miedo del pasado. Los recuerdos del acoso me siguen atormentando.",Ansiedad (DASS-21),Moderado
363,"Me siento tan perdida, . No sé cómo afrontar este dolor abrumador que estoy experimentando. Es como si hubiera perdido una parte de mí junto con la persona que amaba. Este vacío me asfixia y es difícil siquiera imaginar una vida sin ellos.",Estrés (DASS-21),Moderado
364,"Me siento muy culpable por mi paternidad, . Últimamente ha sido abrumador y no sé cómo afrontarlo.",Estrés (DASS-21),Moderado
365,Me sorprende que nunca apareció. Pensé que ya estaría aquí.,General / Apoyo Emocional,Bajo
366,"Hola , espero que te encuentres bien hoy. Quería comunicarme con usted porque últimamente me he sentido frustrado y con un poco de pánico. Verás, recientemente pasé por una ruptura y ha sido difícil procesar todo.",Ansiedad (DASS-21),Moderado
367,"Hola , espero que estés bien hoy. Quería hablar sobre algo que ha estado en mi mente últimamente. Sabes, he notado que cada vez que mi novio y yo tenemos desacuerdos, tiendo a ponerme un poco a la defensiva. Es como si mi reacción inmediata fuera poner un escudo, incluso si él solo está tratando de comunicar sus sentimientos. ¿Por qué crees que hago eso?",General / Apoyo Emocional,Bajo
368,"La paz parece muy lejana en este momento. Es difícil imaginar una vida sin ella. He estado tratando de superar esta ruptura, pero parece imposible. ¿Puedes ayudarme, ?",General / Apoyo Emocional,Bajo
369,"Hola , espero que estés bien. Últimamente me he sentido bastante distraído y parece que no puedo deshacerme de esta corriente subyacente de dolor que he estado experimentando. Ha estado afectando mi bienestar general y no estoy seguro de cómo superarlo.",General / Apoyo Emocional,Bajo
370,"¡Hola, ! Espero que estés bien hoy. Sólo quería hablar sobre algo que me ronda por la cabeza últimamente: la depresión. Creo que la comunicación amorosa realmente puede ayudar a gestionarla.",Estrés (DASS-21),Moderado
371,"Últimamente he sentido una abrumadora sensación de paz, pero también hay una presión creciente dentro de mí. Es como si quisiera explorar algo nuevo y emocionante, pero no sé por dónde empezar.",Estrés (DASS-21),Crítico
372,"Hola , últimamente me siento frustrado y lleno de inseguridad. Tengo el sueño de lograr algo grande, algo que se siente como un verdadero logro, pero no estoy seguro de cómo llegar allí. ¿Me puedes ayudar?",General / Apoyo Emocional,Bajo
373,"Hola , últimamente me he sentido un poco molesto y tengo algunas críticas hacia mí mismo. Me he dado cuenta de que no tengo pasatiempos ni actividades que me traigan alegría. Me ha estado molestando y quiero cambiar eso.",General / Apoyo Emocional,Bajo
374,"Hola , espero que te encuentres bien. Últimamente he sentido miedo y una sensación de aislamiento. Es como si hubiera una inquietud constante que me sigue a dondequiera que vaya.",Ansiedad (DASS-21),Moderado
375,Me siento celoso y quiero cambiar.,General / Apoyo Emocional,Bajo
376,Me siento tan sola. No puedo deshacerme de este sentimiento y me está agobiando. Necesito ayuda y no sé a quién acudir. Siento que me estoy ahogando en un mar de aislamiento.,General / Apoyo Emocional,Bajo
377,"Me he sentido muy deprimido últimamente. Es como esta nube pesada que parece no levantarse nunca. Pero a pesar de eso, todavía tengo algunas metas que quiero alcanzar.",General / Apoyo Emocional,Bajo
378,"No puedo evitar sentirme culpable, . Siempre me he sentido un fracaso, como si nunca pudiera estar a la altura de las expectativas de nadie, incluidas las mías.",General / Apoyo Emocional,Bajo
379,"Hola , espero que te encuentres bien hoy. Quería hablar con alguien sobre este sentimiento abrumador de angustia que he estado experimentando. Realmente me pesa y es difícil encontrar la paz en medio del miedo a seguir adelante.",Estrés (DASS-21),Moderado
380,"Estoy tan agotada, . Se siente como si todo mi mundo se estuviera desmoronando. Recientemente pasé por una ruptura y eso me ha pasado factura a mi salud.",General / Apoyo Emocional,Bajo
381,"Hola , espero que te encuentres bien. Últimamente me siento absolutamente agotada y creo que me estoy descuidando mucho. Ha sido difícil encontrar la energía y la motivación para ocuparme de mis propias necesidades. ¿Puedes ayudarme a descubrir por qué?",General / Apoyo Emocional,Bajo
382,"Me siento muy confundido ahora mismo, . Recientemente pasé por una ruptura y no sé cómo procesar todas estas emociones. Me resulta difícil dejar de lado la dependencia que tenía de mi pareja.",General / Apoyo Emocional,Bajo
383,"¡No lo puedo creer, ! ¡Estoy más que aliviado! ¡Mi novia y yo acabamos de romper!",General / Apoyo Emocional,Bajo
384,"Hola , últimamente me siento muy deprimido, como si estuviera constantemente deprimido. Sé que algo necesita cambiar en mi vida, pero no sé por dónde empezar.",General / Apoyo Emocional,Bajo
385,"¡Estoy tan emocionada de tener esta sesión de terapia contigo, ! Últimamente me he sentido avergonzado por un conflicto que he tenido con uno de mis amigos. Él simplemente tiene esta manera de presionar mis botones, ¿sabes?",Estrés (DASS-21),Moderado
386,"Hola , me he sentido un poco mal últimamente y no puedo deshacerme de este sentimiento de negligencia hacia mis amigos. Me ha estado molestando mucho y no estoy seguro de cómo manejarlo.",General / Apoyo Emocional,Bajo
387,Me siento muy avergonzado por algo que pasó hoy en el trabajo.,General / Apoyo Emocional,Bajo
388,"Hola, . Me he sentido muy deprimido últimamente. Mi autoestima es prácticamente inexistente. Solía ​​​​tener confianza, pero ahora dudo de mí mismo en casi todos los aspectos de la vida. Es como si mi confianza en mí mismo se hubiera desvanecido en el aire. Tenía grandes expectativas para mí, pero siento que ya no puedo cumplir con ninguna de ellas.",General / Apoyo Emocional,Bajo
389,"¡Estoy tan sorprendida, ! ¡No puedo creerlo! ¡Mi sueño finalmente se ha hecho realidad!",General / Apoyo Emocional,Bajo
390,"Hola, . Espero que lo estés haciendo bién. Quería hablar con alguien sobre los conflictos que he tenido con mis amigos. Últimamente me ha estado causando mucho estrés y afectando mi salud en general.",Estrés (DASS-21),Moderado
391,"¡Hola, ! ¡Me siento increíblemente feliz hoy, como si pudiera flotar en la nube nueve! Últimamente he estado pensando mucho en los sueños y en lo importante que es perseguirlos. Es como si tuvieran la clave de nuestros deseos más profundos y de nuestra máxima satisfacción.",General / Apoyo Emocional,Bajo
392,Me siento frustrado y no sé qué hacer.,General / Apoyo Emocional,Bajo
393,Simplemente parece que no puedo encontrar la paz dentro de mí. Es agotador. Me siento como un gran fracaso.,Burnout Estudiantil (MBI-SS),Moderado
394,"Últimamente me he sentido increíblemente enojado, . Es como este fuego ardiente en lo más profundo de mí que no desaparece. Y junto con la ira, existe una sensación abrumadora de pérdida, como si me hubieran quitado algo precioso. Ya no sé cómo afrontar estas emociones.",Estrés (DASS-21),Moderado
395,"Hola amigo. Lamento molestarte, pero realmente necesito alguien con quien hablar ahora mismo.",General / Apoyo Emocional,Bajo
396,"Me siento tan abrumada, . Parece que cada vez que me doy vuelta, hay otro problema de salud con el que lidiar. Estoy exhausto y no sé cómo seguir. Pero lo prometo, estoy tratando de mantener la esperanza.",General / Apoyo Emocional,Bajo
